date,species,abundance,habitat,water_temp,salinity,pollution_index,fishing_pressure,climate_risk
2010-01-01,Starfish,389,Reef,20.973409307597706,30.627970600071208,0.8117744914400139,0.6069975757681028,0.5607114721672073
2010-01-02,Crab,405,Open Ocean,30.472328687413103,33.2893962235305,0.43813174591065185,0.2955223345040675,0.4823835701445952
2010-01-03,Starfish,262,Open Ocean,19.030981541517203,35.86649432721671,0.1974010857405759,0.3788067086009862,0.18828919231634722
2010-01-04,Seagrass,170,Reef,29.137341675727285,31.017417128530653,0.928138255827223,0.005634039787194456,0.22527937108905216
2010-01-05,Starfish,475,Mangrove,31.682298220993566,36.107098790266654,0.8263577722773761,0.8178592114173582,0.8276543143060061
2010-01-06,Turtle,390,Coastal,18.287667583797457,34.64021729714644,0.3713100256697196,0.05722603672983906,0.7781923497979605
2010-01-07,Turtle,188,Open Ocean,20.81411855013777,31.802549846704032,0.4089789100903194,0.8584227593195352,0.8809490964288492
2010-01-08,Dolphin,249,Mangrove,18.949414915710967,33.04211899333127,0.4327252970345604,0.37590164428745987,0.49790277396630866
2010-01-09,Seagrass,334,Mangrove,30.84044480081837,31.44162046359055,0.8874400372424599,0.744575543270326,0.08046472026945373
2010-01-10,Coral,223,Coastal,19.320377944722733,36.09471290108027,0.47401710537372777,0.15643020296280064,0.16719206949058218
2010-01-11,Shark,302,Coastal,26.74393590538908,37.846471355518915,0.9262730088246399,0.9246356106986452,0.5532895852054026
2010-01-12,Shark,356,Reef,21.714754545940888,33.375231413345574,0.6165429184580288,0.398983449724959,0.9686860306988155
2010-01-13,Turtle,188,Open Ocean,26.2600785883956,33.30091318651957,0.33809891401484016,0.47685243283057843,0.8687283893260985
2010-01-14,Seagrass,69,Coastal,30.394531413209684,36.52084596863421,0.5183081673757228,0.16769015609726656,0.8848624075756272
2010-01-15,Turtle,172,Open Ocean,19.431148862382347,32.492642926423244,0.34778360629494665,0.7227663245696019,0.9465813189975902
2010-01-16,Dolphin,294,Open Ocean,21.24964604776998,35.474963387889986,0.4053861503538202,0.7875253362917242,0.241874156906559
2010-01-17,Starfish,386,Reef,29.289452864343183,36.9373025510196,0.9593830592141077,0.631330080583907,0.2440333323647783
2010-01-18,Seagrass,294,Coastal,25.051860556763664,37.74643269777736,0.3595456771545442,0.12478843984017962,0.305015443250496
2010-01-19,Turtle,375,Open Ocean,18.757436376614518,33.76694414343942,0.5877828909864559,0.9692335982427958,0.6056415748330307
2010-01-20,Starfish,297,Mangrove,23.08827481841674,35.43900715520729,0.04789254089309558,0.03616697820496617,0.4628473237804943
